chromosome_id,gene1,gene2,gene3,gene4,gene5,fitness
1,-2.45,1.87,0.32,-3.21,4.15,63.24
2,3.76,-2.19,1.54,0.88,-1.67,42.87
3,-1.08,-3.44,2.91,1.76,0.53,28.16
4,0.98,2.37,-4.12,-0.76,3.28,51.93
5,-3.51,0.62,2.84,-1.93,-2.27,39.45
6,1.43,-1.19,-2.55,3.86,0.41,72.18
7,-0.25,3.91,-1.74,2.68,-3.96,47.65
8,2.87,1.35,0.59,-2.83,4.72,34.91
9,-4.16,-0.82,3.47,1.19,-1.38,56.72
10,0.74,2.93,-3.08,4.25,1.62,81.34
11,-1.92,0.47,2.16,-4.53,3.69,43.28
12,3.25,-2.76,-1.49,0.91,2.58,59.17
13,-2.34,4.08,1.73,-0.66,-3.82,37.56
14,1.54,-3.67,0.22,3.15,2.79,68.43
15,-0.93,2.48,-2.61,-1.84,4.37,41.89
16,4.51,0.33,3.74,-2.29,1.05,76.21
17,-1.77,-4.31,0.85,2.42,-0.58,29.75
18,2.63,1.09,-3.93,4.82,-2.13,53.62
19,-3.19,-1.46,2.25,0.77,3.38,45.97
20,1.21,3.82,-0.44,-2.73,1.97,61.84
